domain	nameservers
meticulouscore.com	none
meticulouscore.net	none
meticulouscore.dev	uriah.ns.cloudflare.com.,rafe.ns.cloudflare.com.
mcore360.com	rafe.ns.cloudflare.com.,uriah.ns.cloudflare.com.
mcoreacademy.com	rafe.ns.cloudflare.com.,uriah.ns.cloudflare.com.
mcoreai.com	uriah.ns.cloudflare.com.,rafe.ns.cloudflare.com.
mcoreai.cloud	rafe.ns.cloudflare.com.,uriah.ns.cloudflare.com.
mcoreai.dev	uriah.ns.cloudflare.com.,rafe.ns.cloudflare.com.
mcorefabric.com	rafe.ns.cloudflare.com.,uriah.ns.cloudflare.com.
mcoremesh.com	uriah.ns.cloudflare.com.,rafe.ns.cloudflare.com.
mcoreshield.com	uriah.ns.cloudflare.com.,rafe.ns.cloudflare.com.
mcorecare.com	rafe.ns.cloudflare.com.,uriah.ns.cloudflare.com.
mcoreprime.com	uriah.ns.cloudflare.com.,rafe.ns.cloudflare.com.
kotlinbrain.com	rafe.ns.cloudflare.com.,uriah.ns.cloudflare.com.
shorbornoai.com	rafe.ns.cloudflare.com.,uriah.ns.cloudflare.com.
shorborno.ai	uriah.ns.cloudflare.com.,rafe.ns.cloudflare.com.
sorbornoai.com	rafe.ns.cloudflare.com.,uriah.ns.cloudflare.com.
aminul-du.com	dns1.bdcom.com.,dns2.bdcom.com.
1of1.care	ns53.domaincontrol.com.,ns54.domaincontrol.com.
rajshahionline.com	dns1.bdcom.com.,dns2.bdcom.com.
rajshahionline.net	none
rajshahionline.com.bd	dns2.bdcom.com.,dns1.bdcom.com.
aiguru.com	launch2.spaceship.net.,launch1.spaceship.net.
