domain	status	nameservers
meticulouscore.com	UNKNOWN	none
meticulouscore.net	UNKNOWN	none
meticulouscore.dev	REPORTED	uriah.ns.cloudflare.com.,rafe.ns.cloudflare.com.
mcore360.com	REPORTED	rafe.ns.cloudflare.com.,uriah.ns.cloudflare.com.
mcoreacademy.com	REPORTED	uriah.ns.cloudflare.com.,rafe.ns.cloudflare.com.
mcoreai.com	REPORTED	rafe.ns.cloudflare.com.,uriah.ns.cloudflare.com.
mcoreai.cloud	REPORTED	uriah.ns.cloudflare.com.,rafe.ns.cloudflare.com.
mcoreai.dev	REPORTED	rafe.ns.cloudflare.com.,uriah.ns.cloudflare.com.
mcorefabric.com	REPORTED	rafe.ns.cloudflare.com.,uriah.ns.cloudflare.com.
mcoremesh.com	REPORTED	rafe.ns.cloudflare.com.,uriah.ns.cloudflare.com.
mcoreshield.com	REPORTED	rafe.ns.cloudflare.com.,uriah.ns.cloudflare.com.
mcorecare.com	REPORTED	uriah.ns.cloudflare.com.,rafe.ns.cloudflare.com.
mcoreprime.com	REPORTED	rafe.ns.cloudflare.com.,uriah.ns.cloudflare.com.
kotlinbrain.com	REPORTED	rafe.ns.cloudflare.com.,uriah.ns.cloudflare.com.
shorbornoai.com	REPORTED	uriah.ns.cloudflare.com.,rafe.ns.cloudflare.com.
shorborno.ai	REPORTED	rafe.ns.cloudflare.com.,uriah.ns.cloudflare.com.
sorbornoai.com	REPORTED	uriah.ns.cloudflare.com.,rafe.ns.cloudflare.com.
aminul-du.com	REPORTED	dns2.bdcom.com.,dns1.bdcom.com.
1of1.care	REPORTED	ns53.domaincontrol.com.,ns54.domaincontrol.com.
rajshahionline.com	REPORTED	dns2.bdcom.com.,dns1.bdcom.com.
rajshahionline.net	UNKNOWN	none
rajshahionline.com.bd	REPORTED	dns1.bdcom.com.,dns2.bdcom.com.
aiguru.com	REPORTED	launch2.spaceship.net.,launch1.spaceship.net.
