domain	DS	dnssec_ok
meticulouscore.com	none	0
meticulouscore.net	none	0
meticulouscore.dev	none	0
mcore360.com	none	0
mcoreacademy.com	none	0
mcoreai.com	none	0
mcoreai.cloud	none	0
mcoreai.dev	none	0
mcorefabric.com	none	0
mcoremesh.com	none	0
mcoreshield.com	none	0
mcorecare.com	none	0
mcoreprime.com	none	0
kotlinbrain.com	none	0
shorbornoai.com	none	0
shorborno.ai	none	0
sorbornoai.com	2371 13 2 51A44AA59F19099C746834B8307EE98379461A811B501232E97FED27 162FD3A1	0
aminul-du.com	none	0
1of1.care	none	0
rajshahionline.com	none	0
rajshahionline.net	none	0
rajshahionline.com.bd	none	0
aiguru.com	54781 13 2 F56DA2A2411CE10D846C8DC4C23717E443CDE0CE6A7963F10C8850FF 94917AD6	0
